"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2000","2000","USD","US Dollar","0","Units","2022","2022",52018.8800522512,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2001","2001","USD","US Dollar","0","Units","2022","2022",52328.6718586274,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2002","2002","USD","US Dollar","0","Units","2022","2022",53520.3282100163,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2003","2003","USD","US Dollar","0","Units","2022","2022",54841.2509195781,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2004","2004","USD","US Dollar","0","Units","2022","2022",56061.8068734798,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2005","2005","USD","US Dollar","0","Units","2022","2022",57030.2441996056,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2006","2006","USD","US Dollar","0","Units","2022","2022",57991,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2007","2007","USD","US Dollar","0","Units","2022","2022",58638,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2008","2008","USD","US Dollar","0","Units","2022","2022",59414,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2009","2009","USD","US Dollar","0","Units","2022","2022",60853,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2010","2010","USD","US Dollar","0","Units","2022","2022",61537,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2011","2011","USD","US Dollar","0","Units","2022","2022",61213,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2012","2012","USD","US Dollar","0","Units","2022","2022",61121,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2013","2013","USD","US Dollar","0","Units","2022","2022",61548,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2014","2014","USD","US Dollar","0","Units","2022","2022",62723,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2015","2015","USD","US Dollar","0","Units","2022","2022",63828,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2016","2016","USD","US Dollar","0","Units","2022","2022",63894,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2017","2017","USD","US Dollar","0","Units","2022","2022",64281,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2018","2018","USD","US Dollar","0","Units","2022","2022",64765,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2019","2019","USD","US Dollar","0","Units","2022","2022",65222,,
"DNK","Denmark","USDPPP","In 2022 constant prices at 2022 USD PPPs","2020","2020","USD","US Dollar","0","Units","2022","2022",66203,,
